"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*02uws*","C","Mathew Barzal","NYI","C,RW","Act","28","","70","0.91","77","70"
"*01f6d*","C","Ryan O'Reilly","NSH","C","Act","35","","69","0.92","75","69"
"*048xc*","C","Nick Suzuki","MTL","C","Act","26","NJD 2<br/>@MTL 0","95","1.23","77","95"
"*03mn8*","LW","Clayton Keller","UTA","LW","Act","27","","78","1.03","76","78"
"*01f5z*","LW","Chris Kreider","ANA","LW","Act","34","","47","0.66","71","47"
"*03bfj*","LW","Artemi Panarin","LAK","LW","Act","34","","80","1.11","72","80"
"*02b70*","RW","Nikita Kucherov","TBL","RW","Act","32","","125","1.79","70","125"
"*05r1c*","RW","Juraj Slafkovsky","MTL","LW,RW","Act","22","NJD 2<br/>@MTL 0","67","0.87","77","67"
"*00qru*","RW","Steven Stamkos","NSH","C,LW,RW","Act","36","","60","0.79","76","60"
"*04ad7*","D","Rasmus Dahlin","BUF","D","Act","25","","69","0.95","73","69"
"*042vx*","D","Filip Hronek","VAN","D","Act","28","","46","0.61","76","46"
"*05wwg*","D","Lane Hutson","MTL","D","Act","22","NJD 2<br/>@MTL 0","74","0.96","77","74"
"*016g3*","D","Erik Karlsson","PIT","D","Act","35","FLA 2<br/>@PIT 5 F","64","0.88","73","64"
"*05tcz*","C","Oliver Kapanen","MTL","C","Res","22","NJD 2<br/>@MTL 0","37","0.48","77","37"
"*06maz*","LW","Ilya Protas","WSH","LW","Res","19","WSH 1<br/>@NYR 7","0","0","0","0"
"*04zo0*","RW","Pavel Dorofeyev","VGK","LW,RW","Res","25","","61","0.79","77","61"
"*04amg*","LW","Alexis Lafreniere","NYR","LW,RW","Res","24","WSH 1<br/>@NYR 7","52","0.67","78","52"
"*06spu*","RW","Alexander Zharovsky","MTL","RW","Res","19","NJD 2<br/>@MTL 0","0","0","0","0"
"*05y7m*","D","Denton Mateychuk","CBJ","D","Res","21","","30","0.43","70","30"
"*05yli*","D","Pavel Mintyukov","ANA","D","Res","22","","20","0.29","68","20"
"*06qfa*","D","Bryce Pickford","MTL","D","Res","20","NJD 2<br/>@MTL 0","0","0","0","0"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*05xct*","G","Jet Greaves","CBJ","G","Act","25","","52","1.04","50","24","2"
"*0322w*","G","Ilya Sorokin","NYI","G","Act","30","","70","1.35","52","28","7"
"*04f24*","G","Jeremy Swayman","BOS","G","Act","27","BOS 1<br/>@PHI 2 F","62","1.19","52","30","1"
"*05k9b*","G","Joel Blomqvist","PIT","G","Res","24","FLA 2<br/>@PIT 5 F","0","0","0","0","0"
"*04r06*","G","Samuel Ersson","PHI","G","Res","26","BOS 1<br/>@PHI 2 F","26","0.84","31","13","0"
"*068yz*","G","Jacob Fowler","MTL","G","Res","21","NJD 2<br/>@MTL 0","18","1.12","16","8","1"
"*05lud*","G","Dylan Garand","NYR","G","Res","23","WSH 1<br/>@NYR 7","2","1","2","1","0"
"*05tpb*","G","Carl Lindbom","VGK","G","Res","22","","4","0.5","8","2","0"
"*03rfp*","G","Sam Montembeault","MTL","G","Res","29","NJD 2<br/>@MTL 0","20","0.8","25","10","0"

